Year,Rate,Location
2007,471.8,United States
2008,458.6,United States
2009,431.9,United States
2010,404.5,United States
2011,387.1,United States
2012,387.8,United States
2013,369.1,United States
2014,361.6,United States
2016,397.5,United States
2017,394,United States
2015,373.7,United States
2007,272.8,Virginia
2008,257.8,Virginia
2009,230.8,Virginia
2010,214.2,Virginia
2011,197.6,Virginia
2012,191.5,Virginia
2016,219.8,Virginia
2017,208.2,Virginia
2014,198.4,Virginia
2015,199.6,Virginia
2013,197.8,Virginia
